start_time_ns,duration,label,metadata
2039490130125398,170140,TX,"size_bytes=430|tx=a00bbd08b8c5fc8454a33c8cd6612fd96ba9f8d64836f5f490224969b282e84e"
2039490321747492,21088452,TX,"size_bytes=41350|tx=c6e4ce4b1f62580c568c820e5e739365a378c766cbda1474ac27c7c9ba9ecb2a"
2039490342855514,110160,TX,"size_bytes=693|tx=6a7826b245b7e906c118fde1145753a935e84c2860ef1774cd7fbb2087295418"
2039490342971824,86470,TX,"size_bytes=225|tx=203e4fafeac47063ff74188a2fbf8a69f286acc92e9aaed4148e67eb4cc96505"
2039490343064504,328880,TX,"size_bytes=960|tx=a63f7bcf8f3ff56475abd82e6fbad00d18efa97ae148761c7c5f2a14dfda2406"
2039490343399474,2185480,TX,"size_bytes=3922|tx=c838c2f3930fb7b7580e4bbb66fcf96e41ffb9d72986c7a043204c170bf835aa"
2039490345588834,79590,TX,"size_bytes=380|tx=63999c12cf3b33402ae67b4b4a832b86c86430ae9c9e17a252650e4a09839e3a"
2039490345675244,73680,TX,"size_bytes=222|tx=1378a571ffab4248bcb237c7ddb3aa2f345adaae548768b2d26afc1f78cc60cf"
2039490345753424,80940,TX,"size_bytes=234|tx=9fb35c6a35496af26e6addb5b12a319be34c3cc0a3fe089d48bb736e028c99b5"
2039490345839164,73080,TX,"size_bytes=223|tx=c9c6603a33dcde9a6891b8850375a02030e0a3ca079a851ee6f70209a14e8fc5"
2039490345914744,95710,TX,"size_bytes=223|tx=ae6044edff7cffb9e4f94fd6593abdfea00d839dff8fa3c059a79249297497da"
2039491691474634,17290,INV,"size_bytes=37"
2039491925694262,21238951,TX,"size_bytes=41357|tx=8dd40963fa3efd025f5d6d5e8128a4aa4797024415ac7b2dad9ef23f02c3d7f6"
2039492016361809,14780,INV,"size_bytes=73"
2039498066911429,54550,INV,"size_bytes=613"
2039498086522211,470000,TX,"size_bytes=998|tx=d6761315778437022ae75bf29cf0a77d7ebe62d68b7fc064dd0cf2cb07e471c2"
2039498086998841,143880,TX,"size_bytes=253|tx=c5e34ac1533738e53212c34c0a0121cd79fa00dd89c2e61f234333dd52931253"
2039498087151411,95850,TX,"size_bytes=278|tx=427936cfad71bcd2f24f06270b4a2193bd81007f4bfadd1685ae44013a40a1ba"
2039498087250561,371290,TX,"size_bytes=688|tx=e169b8129d0989f707da3fc0ec34b464d72b5cd10ee3ad6001829336afb273f0"
2039498087628011,77440,TX,"size_bytes=162|tx=096b949a09944c755872ff84cc35c8ffd7089116364449d48eacc9048f448de3"
